ID,Employee Satisfaction,Employer Ratings,Monthly working hours
1,0.38,0.53,157
2,0.8,0.86,262
3,0.11,0.88,272
4,0.72,0.87,223
5,0.76,0.89,262
6,0.11,0.83,282
7,0.38,0.55,147
8,0.09,0.95,304
9,0.46,0.57,139
10,0.4,0.53,158
11,0.89,0.92,242
12,0.82,0.87,239
13,0.4,0.49,135
14,0.41,0.46,128
15,0.38,0.5,132
16,0.09,0.62,294
17,0.45,0.57,134
18,0.4,0.51,145
19,0.45,0.55,140
20,0.84,0.87,246
21,0.1,0.94,255
22,0.38,0.46,137
23,0.45,0.5,126
24,0.11,0.89,306
25,0.41,0.54,152
26,0.87,0.88,269
27,0.45,0.48,158
28,0.4,0.46,127
29,0.1,0.8,281
30,0.09,0.89,276
31,0.84,0.74,182
32,0.4,0.55,147
33,0.57,0.7,273
34,0.4,0.54,148
35,0.43,0.47,147
36,0.13,0.78,152
37,0.44,0.55,135
38,0.38,0.55,134
39,0.39,0.54,132
40,0.1,0.92,307
41,0.37,0.46,140
42,0.11,0.94,255
43,0.1,0.81,309
44,0.38,0.54,128
45,0.85,1,225
46,0.85,0.91,226
47,0.11,0.93,308
48,0.1,0.95,244
49,0.36,0.56,132
50,0.11,0.94,286
51,0.81,0.7,161
52,0.43,0.54,153
53,0.9,0.98,264
54,0.76,0.86,223
55,0.43,0.5,135
56,0.74,0.99,277
57,0.09,0.77,275
58,0.45,0.49,149
59,0.09,0.87,295
60,0.11,0.97,277
61,0.11,0.79,306
62,0.1,0.83,295
63,0.4,0.54,137
64,0.43,0.56,157
65,0.39,0.56,142
66,0.45,0.54,140
67,0.38,0.49,151
68,0.79,0.59,139
69,0.84,0.85,249
70,0.11,0.77,291
71,0.11,0.87,305
72,0.17,0.84,232
73,0.44,0.45,132
74,0.37,0.57,130
75,0.1,0.79,291
76,0.4,0.5,130
77,0.89,1,246
78,0.42,0.48,143
79,0.46,0.55,129
80,0.09,0.83,255
81,0.37,0.51,155
82,0.1,0.77,265
83,0.1,0.84,279
84,0.11,0.97,284
85,0.9,1,221
86,0.38,0.52,154
87,0.36,0.52,147
88,0.42,0.46,150
89,0.09,0.94,267
90,0.43,0.52,158
91,0.24,0.46,224
92,0.91,1,257
93,0.44,0.5,148
94,0.71,0.87,177
95,0.4,0.49,155
96,0.43,0.47,144
97,0.09,0.85,289
98,0.43,0.52,160
99,0.9,0.96,258
100,0.84,1,234
101,0.37,0.48,137
102,0.86,0.68,263
103,0.11,0.84,251
104,0.37,0.57,133
105,0.4,0.46,132
106,0.14,0.62,158
107,0.4,0.46,135
108,0.75,1,216
109,0.11,0.84,300
110,0.46,0.49,138
111,0.11,0.92,260
112,0.38,0.49,132
113,0.7,0.89,183
114,0.09,0.82,250
115,0.37,0.45,151
116,0.1,0.83,292
117,0.38,0.57,140
118,0.9,1,221
119,0.44,0.51,138
120,0.36,0.5,132
121,0.31,0.84,133
